ProjectID,Partner,Project,Project_Status,Pillars_supported_by_project,Activities_conducted,Other_nonpPillar_activities,Implementing_partner,Regions,Districts
ID-145,Humanity & Inclusion,Mental Health and Psycho-social Support,ongoing project,"Mental health, Risk communications, Logistics, other","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusSupervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, supplies personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), Procurement of infared thermometers, ",,,"Bunyoro, Toro, Busoga","Kikuube, Kyegegwa"
ID-146,Humanity & Inclusion,Home based Inclusive Education for Children with Disabilities,new project,"Mental health, Risk communications, other",Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus supplies personnel,provision of home based learning for children with disabilities,,West Nile,"Yumbe, Arua, Obongi"
ID-147,World Health Organisation,WHO WHE internal response fund,ongoing project,"Coordination, Infection prevention, Surveillance, Case management, ICT innovations, Mental health, Risk communications, Logistics, Human resource","Activation of National Task Force, district task force and sub-committees, Develop and issue information products including situational reports on COVID-19, Orientation for surge staff Orientation and deployment of the COVID-19 National Rapid Response Team Technical support to local governments on COVID-19, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management,Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, training_field_guide_borderFacilitation of point of entry supervisors, Case Investigation Identify all centres of risk and assess them for potential foci of undetected circulation of the virus,Contact identification, contact tracing, and contact follow up and contacts of contacts, Define containment measures including geographical cordoning, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, orientation_detection_linking_kampala Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Activate Ambulance services to aid referral of patients, Orientation of Health care workers in intensive care unit, dig_self_followup Implement Budget tracking and activity reporting system for the COVID-19 response, Widen scope of implementation of eMeeting, telemedicine_protocals Implementation of the E-eLMIS,Telemedicine/telehealth approaches during and after Covid-19 pandemic, Strengthen the District routine reporting data telemedicine_orientation, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusSupervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, Personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), procure_blood_testing Procurement of thermoscanners for points of entry Procurement of infared thermometers, Offloadingand transportation of commodities fuel Transport arrangements for medical staff, ambulances_procurement procurement_motorcycles procurement_surveillance_vehicles Medical equipment maintenance costs for ICUs, Printing of the Public Health (COVID 19) Statutory Instrument, Procurement of sanitizers, Recruitmement of surge staff, Facilitation for Laboratory field sample collection officers and riders - Central region Facilitation for COVID Response Teams Recruitmement of surge staff",,,"Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, North Buganda, South Buganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-148,World Health Organisation,IRISH AID,new project,"Coordination, Infection prevention, Surveillance, Case management, ICT innovations, Mental health, Risk communications, Logistics, Human resource","Develop and issue information products including situational reports on COVID-19, Orientation for surge staff Orientation and deployment of the COVID-19 National Rapid Response Team Technical support to local governments on COVID-19, Facilitation of MoH Top Management Team in coordination and support to local governments,Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, training_field_guide_borderFacilitation of point of entry supervisors, Case Investigation Identify all centres of risk and assess them for potential foci of undetected circulation of the virus,Contact identification, contact tracing, and contact follow up and contacts of contacts, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, orientation_detection_linking_kampala Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Activate Ambulance services to aid referral of patients, Orientation of Health care workers in intensive care unit, Implementation of the E-eLMIS,Telemedicine/telehealth approaches during and after Covid-19 pandemic, telemedicine_orientation, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusSupervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materials, Personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), procure_blood_testing Procurement of infared thermometers, fuel Medical equipment maintenance costs for ICUs, Recruitmement of surge staff, Hire full time staff for border health at the national and the respective Points of Entry, Ensure remuneration and compensation of responders, Ensure remuneration and compensation of health care providers Facilitation for Laboratory field sample collection officers and riders - Central region Facilitate security personnel at the isolation facilities Facilitation for COVID Response Teams Recruitmement of surge staff",,,"Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, North Buganda, South Buganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-149,World Health Organisation,DFID,new project,"Coordination, Surveillance, Logistics, Human resource","Conduct a simulation/drill exercise, Orientation for surge staff Orientation and deployment of the COVID-19 National Rapid Response Team Technical support to local governments on COVID-19, Facilitation of MoH Top Management Team in coordination and support to local governments, Orient Health workers on COVID-19 surveillance, Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, fuel, Recruitmement of surge staff, Hire full time staff for border health at the national and the respective Points of Entry, Ensure remuneration and compensation of responders, Ensure remuneration and compensation of health care providers Facilitation for Laboratory field sample collection officers and riders - Central region Facilitate security personnel at the isolation facilities Facilitation for COVID Response Teams Recruitmement of surge staff",,,"Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, North Buganda, South Buganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-150,World Health Organisation,DANISH,new project,"Coordination, Infection prevention, Case management, Mental health, Human resource","Activation of National Task Force, district task force and sub-committees, Monitor and supervise implementation of the plan by the national level, Orientation for surge staff Facilitation of MoH Top Management Team in coordination and support to local governments,Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, orientation_detection_linking_kampala Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Activate Ambulance services to aid referral of patients, Orientation of Health care workers in intensive care unit, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virusSupervise and monitor psychosocial services in the affected communities by the central team, Finalize psychosocial support materialsEnsure remuneration and compensation of responders, Facilitate security personnel at the isolation facilities Facilitation for COVID Response Teams Recruitmement of surge staff",,,"Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, North Buganda, South Buganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-151,United States Agency for International Development,Community Epidemic and Pandemic Preparedness (CP3),ongoing project,"Risk communications, other",personnel,,International Federation of the Red Cross (IFRC),Kampala,Kampala
ID-152,United States Agency for International Development,"Medicines, Technologies, and Pharmaceutical Services (MTaPS)",ongoing project,"Infection prevention, other","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities. ",,Management Sciences for Health,Kampala,Kampala
ID-153,United States Agency for International Development,Regional Health Integration to Enhance Services in Eastern Uganda (RHITES-E),ongoing project,"Infection prevention, Surveillance, Case management, ICT innovations, Logistics, other","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Orientation of Health care workers in intensive care unit, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Widen scope of implementation of eMeeting, Strengthen the District routine reporting dataOffloadingand transportation of commodities, ",,Intrahealth International,"Bukedi, Elgon, Teso","Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli,  Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki"
ID-154,United States Agency for International Development,Regional Health Integration to Enhance Services in East Central Uganda (RHITES-EC),ongoing project," Infection prevention, Surveillance, Case management,  ICT innovations, Logistics, other","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Orientation of Health care workers in intensive care unit, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Widen scope of implementation of eMeeting, Strengthen the District routine reporting dataOffloadingand transportation of commodities, ",,"University Research Co., LLC",Busoga,"Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri"
ID-155,United States Agency for International Development,Regional Health Integration to Enhance Services in Southwest Uganda (RHITES-SW),ongoing project,"Infection prevention, Surveillance, Case management,  ICT innovations,   Logistics, Human resource","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Orientation of Health care workers in intensive care unit, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Widen scope of implementation of eMeeting, Strengthen the District routine reporting dataOffloadingand transportation of commodities, ",,Elizabeth Glaser Pediatric AIDS Foundation (EGPAF),"Ankole, Kigezi","Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale"
ID-156,United States Agency for International Development,Regional Health Integration to Enhance Services in North Lango Uganda (RHITES-N Lango),ongoing project,"Infection prevention, Surveillance, Case management, ICT innovations, Logistics, other","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case InvestigationContact identification, contact tracing, and contact follow up and contacts of contacts, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Orientation of Health care workers in intensive care unit, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Widen scope of implementation of eMeeting, Strengthen the District routine reporting dataOffloadingand transportation of commodities, ",,John Snow Inc.,Lango,"Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania"
ID-157,United States Agency for International Development,"Regional Health Integration to Enhance Services in North Acholi, Uganda (RHITES-N Acholi)",ongoing project,"Infection prevention, Surveillance, Case management, ICT innovations, other","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting toolsPrinting and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance,Facilitation of point of entry supervisors, Case Investigation Define containment measures including geographical cordoning, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Orientation of Health care workers in intensive care unit, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Widen scope of implementation of eMeeting, Strengthen the District routine reporting data ",,"University Research Co., LLC",Acholi,"Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya"
ID-158,Lutheran World Federation,"Promoting Sustainable Livelihoods, Environmental Protection and Psycho social Support among South Sudan Refugees and Host Community in Adjumani Refugee Settlement.",ongoing project,"Coordination, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Food assistance and/or specialised nutrition foods for suspects and health workers in isolation, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus Personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Offloadingand transportation of commodities Provision of mattresses and beddings for isolation centresProcurement of sanitizers, Procurement of soap, Facilitation for COVID Response Teams",,,West Nile,Adjumani
ID-159,Lutheran World Federation,Protection of Human dignity for Congolese and South Sudanese refugees in Uganda,ongoing project,"Coordination, Infection prevention, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Food assistance and/or specialised nutrition foods for suspects and health workers in isolation. Welfare and food assistance for quarantineed individuals in other institutions, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Offloadingand transportation of commodities Provision of mattresses and beddings for isolation centresProcurement of sanitizers, Procurement of soap, Facilitation for COVID Response Teams","Traing of VHTs, CBOs and local leaders on COVID 19 prevention and Response, Training Staff on COVID 19 Prevention",,"Acholi, Toro, West Nile","Lamwo, Kamwenge, Adjumani"
ID-16,Engineering Ministries International,COVID-19 activities only,new project,"Logistics, other", ,,,Kampala,Kampala
ID-160,Amref Health Africa in Uganda,SRHR project  in Amuru - Incoporated COVID -19 activities,ongoing project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Develop and issue information products including situational reports on COVID-19, Conduct a simulation/drill exercise, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Orientation of Health care workers in intensive care unit, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of uniforms for the contract staff Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), Procurement of infared thermometers, Offloadingand transportation of commodities, Procurement of sanitizers, Procurement of soap, Procurement of water tanks, Procure boots, ",,Amref Health Africa,Acholi,Amuru
ID-161,Amref Health Africa in Uganda,Total Health  project,ongoing project,"Coordination, WASH, Risk communications, Logistics, other","Activation of National Task Force, district task force and sub-committees, Technical support to local governments on COVID-19, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community,supplies personnel, Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, Procurement of soap, Procurement of water tanks Water, Sanitation & Hygiene transportation, last mile distribution, and other logistics costs,",,,Acholi,Amuru
ID-162,Amref Health Africa in Uganda,Ebola PROJECT,ongoing project,"Coordination, Case management, Risk communications, Logistics, other","Activation of National Task Force, district task force and sub-committees, Technical support to local governments on COVID-19, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, supplies, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), Printing of the Public Health (COVID 19) Statutory Instrument, Procurement of sanitizers, Procurement of Sprayer,trigger bottle,handheld,1 liter, Procurement of soap, Water, Sanitation & Hygiene transportation, last mile distribution, and other logistics costs, ",,,West Nile,Arua
