District,Coordination_n,PreventionControl_n,Surveillance_n,CaseManagement_n,WASH_n,ICTInnovation_n,RiskCommunication_n,MentalHealth_n,Logistics_n,HumanResources_n,Coordination,PreventionControl,Surveillance,CaseManagement,WASH,ICTInnovation,RiskCommunication,MentalHealth,Logistics,HumanResources
ISINGIRO,7,7,5,5,6,5,9,5,7,6,ALIGHT ( Formerly American Refugee Committee) |  Medical Teams International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,ALIGHT ( Formerly American Refugee Committee) |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Medical Teams International |  Ministry of Security |  United Nations High Commissioner For Refugees |  United States Agency for International Development |  World Health Organisation,Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  United States Agency for International Development |  World Health Organisation,ALIGHT ( Formerly American Refugee Committee) |  AWO International |  Farm Radio International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees,Farm Radio International |  Tutapo  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,AWO International |  Danish Refugee Council |  Farm Radio International |  Medical Teams International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,ALIGHT ( Formerly American Refugee Committee) |  Tutapo  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,Danish Refugee Council |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,ALIGHT ( Formerly American Refugee Committee) |  Danish Refugee Council |  UNICEF |  United Nations High Commissioner For Refugees |  United States Agency for International Development |  World Health Organisation
JINJA,5,4,4,4,3,5,6,2,6,4,ChildFund International |  Clinton Health Access Initiative |  International Rescue Committee (IRC) |  LifeNet International |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  United States Agency for International Development |  World Health Organisation,LifeNet International |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  LifeNet International,ChildFund International |  Farm Radio International |  LifeNet International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  LifeNet International |  Restless Development Uganda |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  Clinton Health Access Initiative |  LifeNet International |  UNICEF |  United States Agency for International Development |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  Restless Development Uganda |  World Health Organisation
KAABONG,5,6,3,3,6,4,9,4,6,3,Adventist Development & Relief Agency (ADRA) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Adventist Development & Relief Agency (ADRA) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  World Health Organisation,Adventist Development & Relief Agency (ADRA) |  Farm Radio International |  Mercy Corps |  Save the Children International |  UNICEF |  World Vision Uganda,Farm Radio International |  Save the Children International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Amref Health Africa in Uganda |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Amref Health Africa in Uganda |  Mission Aviation Fellowship (MAF) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
KABALE,2,2,4,2,1,3,3,1,3,3,Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Medical Teams International |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation
KABAROLE,3,3,3,2,3,3,7,1,4,2,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Welthungerhilfe |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Welthungerhilfe |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  Welthungerhilfe,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Broederlijk Delen |  Farm Radio International |  Save the Children International |  UNICEF |  Welthungerhilfe |  World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  UNICEF |  Welthungerhilfe |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation
KABERAMAIDO,3,3,3,2,2,5,5,3,5,2,ChildFund International |  United Nations Population Fund (UNFPA) |  World Health Organisation,United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,ChildFund International |  United Nations Population Fund (UNFPA) |  World Health Organisation,ChildFund International |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
KAGADI,2,2,2,2,2,2,4,2,4,1,Clinton Health Access Initiative |  World Health Organisation,International Rescue Committee (IRC) |  World Health Organisation,Ministry of Security |  World Health Organisation,International Rescue Committee (IRC) |  World Health Organisation,Farm Radio International |  World Vision Uganda,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda,International Rescue Committee (IRC) |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation
KAKUMIRO,3,1,2,1,1,2,3,2,2,1,Clinton Health Access Initiative |  Finnish Mission Uganda / Fida International |  World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,Finnish Mission Uganda / Fida International |  World Health Organisation,UNICEF |  World Health Organisation,World Health Organisation
KALAKI,2,2,3,2,2,3,4,1,4,3,Trócaire |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International |  Trócaire,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Trócaire |  UNICEF |  World Health Organisation,World Health Organisation,Trócaire |  UNICEF |  United States Agency for International Development |  World Health Organisation,Trócaire |  UNICEF |  World Health Organisation
KALANGALA,1,2,2,2,2,2,3,2,2,2,World Health Organisation,UNICEF |  World Health Organisation,Ministry of Security |  World Health Organisation,UNICEF |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  World Health Organisation
KALIRO,2,2,4,2,1,3,3,1,3,1,Clinton Health Access Initiative |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Clinton Health Access Initiative |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
KALUNGU,1,1,2,1,1,2,3,1,2,1,World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  World Health Organisation,World Health Organisation
KAMPALA,20,13,8,11,13,10,22,12,18,10,Adventist Development & Relief Agency (ADRA) |  Care and Assistance For Forced Migrants (CAFOMI) |  ChildFund International |  Clinton Health Access Initiative |  Dan Church Aid (DCA) |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  Jesuit Regufee Service (JRS) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  LifeNet International |  Norwegian Refugee Council (NRC) |  Street Business School |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  WaterAid Uganda |  Welthungerhilfe |  Wome Uganda |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  Norwegian Refugee Council (NRC) |  Samaritan's Purse |  Street Business School |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  Ministry of Security |  U-LEARN |  UNICEF |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  International Rescue Committee (IRC) |  Jesuit Regufee Service (JRS) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  Malteser International |  UNICEF |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  ChildFund International |  Farm Radio International |  Hope for Children |  International Rescue Committee (IRC) |  LifeNet International |  Norwegian Refugee Council (NRC) |  Samaritan's Purse |  UNICEF |  WaterAid Uganda |  Welthungerhilfe |  Wome Uganda |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  ChildFund International |  Farm Radio International |  International Rescue Committee (IRC) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  LifeNet International |  U-LEARN |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  ChildFund International |  Dan Church Aid (DCA) |  Farm Radio International |  Hope for Children |  International Justice Mission |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Jesuit Regufee Service (JRS) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  LifeNet International |  Samaritan's Purse |  Save the Children International |  U-LEARN |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  WaterAid Uganda |  Welthungerhilfe |  Wome Uganda |  World Health Organisation |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  Finnish Mission Uganda / Fida International |  Hope for Children |  International Justice Mission |  International Rescue Committee (IRC) |  Jesuit Regufee Service (JRS) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  ChildFund International |  Dan Church Aid (DCA) |  Engineering Ministries International |  Hope for Children |  International Rescue Committee (IRC) |  Jesuit Regufee Service (JRS) |  Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  Malteser International |  Norwegian Refugee Council (NRC) |  Samaritan's Purse |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  Wome Uganda |  World Health Organisation |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  Hope for Children |  International Rescue Committee (IRC) |  LifeNet International |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  Wome Uganda |  World Health Organisation |  World Vision Uganda
KAMULI,5,3,5,3,3,4,5,2,5,1,ChildFund International |  Clinton Health Access Initiative |  International Rescue Committee (IRC) |  Plan International Uganda |  World Health Organisation,Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Clinton Health Access Initiative |  Ministry of Security |  Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Plan International Uganda |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Plan International Uganda,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Plan International Uganda |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  Plan International Uganda |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
KAMWENGE,8,8,6,7,6,3,10,6,6,6,Adventist Development & Relief Agency (ADRA) |  Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Medical Teams International |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation |  World Vision Uganda,Lutheran World Federation |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation |  World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation |  World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation |  World Vision Uganda
KANUNGU,5,6,5,4,3,5,7,2,6,4,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Medical Teams International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Medical Teams International |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Medical Teams International |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Farm Radio International,Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Farm Radio International |  Medical Teams International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  UNICEF |  United States Agency for International Development |  World Health Organisation
KAPCHORWA,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
KAPELEBYONG,2,3,3,2,4,4,6,3,6,3,ChildFund International |  World Health Organisation,Self Help Africa |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Self Help Africa |  World Vision Uganda,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Self Help Africa |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  World Health Organisation |  World Vision Uganda,ChildFund International |  Self Help Africa |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
KARENGA,4,5,3,3,5,4,8,5,4,3,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  World Health Organisation,Farm Radio International |  Mercy Corps |  Save the Children International |  UNICEF |  World Vision Uganda,Farm Radio International |  Save the Children International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
KASESE,7,7,4,6,4,4,8,4,6,3,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  UNICEF |  Welthungerhilfe,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation,Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  UNICEF |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  UNICEF |  World Health Organisation
KASSANDA,2,2,3,2,2,2,3,1,2,2,Clinton Health Access Initiative |  World Health Organisation,UNICEF |  World Health Organisation,Clinton Health Access Initiative |  Ministry of Security |  World Health Organisation,UNICEF |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  World Health Organisation
KATAKWI,4,3,3,2,4,4,6,2,6,3,ChildFund International |  Trócaire |  Welthungerhilfe |  World Health Organisation,United States Agency for International Development |  Welthungerhilfe |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Trócaire |  Welthungerhilfe,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Trócaire |  UNICEF |  Welthungerhilfe |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  Trócaire |  UNICEF |  United States Agency for International Development |  Welthungerhilfe |  World Health Organisation,Trócaire |  UNICEF |  World Health Organisation
KAYUNGA,2,3,2,2,2,2,4,1,2,2,Street Business School |  World Health Organisation,Street Business School |  UNICEF |  World Health Organisation,Ministry of Security |  World Health Organisation,UNICEF |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  World Health Organisation,Farm Radio International |  Restless Development Uganda |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  World Health Organisation
KAZO,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
KIBAALE,2,1,2,1,2,2,4,2,3,2,Clinton Health Access Initiative |  World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International |  World Vision Uganda,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda
KIBOGA,1,1,2,1,2,2,4,2,3,2,World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International |  World Vision Uganda,Farm Radio International |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda
KIBUKU,2,2,3,2,2,4,4,2,4,1,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
KIKUUBE,9,9,6,6,10,5,15,7,11,6,Action Against Hunger |  Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Medical Teams International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Cordaid |  Medical Teams International |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Cordaid |  Medical Teams International |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Medical Teams International |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,Action Against Hunger |  Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Cordaid |  Farm Radio International |  Lutheran World Federation |  Norwegian Refugee Council (NRC) |  OXFAM NOVIB |  UNICEF |  United Nations High Commissioner For Refugees,Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Action Against Hunger |  Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Farm Radio International |  Humanity & Inclusion |  Lutheran World Federation |  Medical Teams International |  Norwegian Refugee Council (NRC) |  OXFAM NOVIB |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Humanity & Inclusion |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,Action Against Hunger |  Care and Assistance For Forced Migrants (CAFOMI) |  CARE International |  Humanity & Inclusion |  Lutheran World Federation |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation |  World Vision Uganda
KIRUHURA,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
KIRYANDONGO,9,5,4,4,6,4,11,8,8,3,Action Against Hunger |  AVSI FOUNDATION |  ChildFund International |  Dan Church Aid (DCA) |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  ChildFund International |  Farm Radio International |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees,ChildFund International |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  ChildFund International |  Dan Church Aid (DCA) |  Farm Radio International |  Finnish Mission Uganda / Fida International |  Save the Children International |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,ChildFund International |  Finnish Mission Uganda / Fida International |  Save the Children International |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Action Against Hunger |  AVSI FOUNDATION |  ChildFund International |  Dan Church Aid (DCA) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation
