District,Coordination_n,PreventionControl_n,Surveillance_n,RiskCommunication_n,MentalHealth_n,ICTInnovation_n,WASH_n,Logistics_n,HumanResources_n,CaseManagement_n,Coordination,PreventionControl,Surveillance,CaseManagement,RiskCommunication,MentalHealth,ICTInnovation,WASH,Logistics,HumanResources
IGANGA,5,2,3,20,11,13,8,2,2,2,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Living Goods | Ministry of Security | Street Business School | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | Street Business School | United States Agency for International Development | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
JINJA,8,5,5,23,12,15,10,6,5,6,ChildFund International | Clinton Health Access Initiative | Farm Radio International | LifeNet International | Living Goods | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | LifeNet International | Restless Development Uganda | UNICEF | World Health Organisation,ChildFund International | World Health Organisation,ChildFund International | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | LifeNet International | Makerere University Walter Reed Project,ChildFund International | Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation
KALIRO,30,26,24,17,11,10,1,27,27,28,Clinton Health Access Initiative | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
KAMULI,3,27,25,20,12,11,7,1,29,29,ChildFund International | Clinton Health Access Initiative | Farm Radio International | Living Goods | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Plan International Uganda | UNICEF | World Health Organisation,ChildFund International | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Plan International Uganda,ChildFund International | Farm Radio International | Ministry of Security | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation
LUUKA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
MAYUGE,5,3,4,1,13,14,10,6,5,4,ChildFund International | Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | LifeNet International | Restless Development Uganda | UNICEF | World Health Organisation | World Vision Uganda,ChildFund International | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | LifeNet International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | LifeNet International | World Vision Uganda,ChildFund International | Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | LifeNet International | Ministry of Security | Restless Development Uganda | United States Agency for International Development | World Health Organisation | World Vision Uganda
NAMAYINGO,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
NAMUTUMBA,30,27,24,19,11,10,4,28,28,28,Farm Radio International | Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry,Farm Radio International | Food for the Hungry | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation
BUDUDA,30,26,23,19,11,11,4,28,28,28,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
BUKWO,31,27,24,19,12,10,1,28,28,29,Farm Radio International | Ministry of Security | Tackling Deadly Diseases in Africa Programme (TDDAP) | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation
BULAMBULI,31,27,24,20,13,11,4,1,1,29,ChildFund International | Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,ChildFund International | United Nations Population Fund (UNFPA) | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation
KAPCHORWA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
KWEEN,30,28,24,20,12,10,4,1,29,30,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry,Farm Radio International | Food for the Hungry | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation
MANAFWA,30,26,23,19,11,11,4,28,27,28,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
MBALE,2,28,23,23,14,13,10,4,2,28,ChildFund International | Farm Radio International | Living Goods | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Living Goods | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Food for the Hungry | Living Goods | UNICEF | World Health Organisation | World Vision Uganda,ChildFund International | Living Goods | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | Living Goods | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Food for the Hungry | Living Goods | World Vision Uganda,ChildFund International | Farm Radio International | Food for the Hungry | Living Goods | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | Living Goods | Ministry of Security | United States Agency for International Development | World Health Organisation | World Vision Uganda
NAMISINDWA,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
SIRONKO,30,27,23,19,12,11,4,28,29,28,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Living Goods | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,ChildFund International | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
KAMPALA,26,22,18,15,8,7,6,23,23,22,Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Clinton Health Access Initiative | Dan Church Aid (DCA) | Farm Radio International | Finnish Mission Uganda / Fida International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Security | Norwegian Refugee Council (NRC) | Samaritan's Purse | Street Business School | Tackling Deadly Diseases in Africa Programme (TDDAP) | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | Farm Radio International | Finnish Mission Uganda / Fida International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Security | Norwegian Refugee Council (NRC) | Samaritan's Purse | Street Business School | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Womena Uganda | World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Security | Norwegian Refugee Council (NRC) | Samaritan's Purse | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Womena Uganda | World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Security | Norwegian Refugee Council (NRC) | Samaritan's Purse | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Womena Uganda | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Dan Church Aid (DCA) | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Samaritan's Purse | Save the Children International | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Health Organisation | World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) | Finnish Mission Uganda / Fida International | Hope for Children | International Justice Mission | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Living Goods | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Farm Radio International | Infectious Diseases Institute | Makerere University | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Mercy Corps | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Farm Radio International | Hope for Children | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Samaritan's Purse | UNICEF | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | ChildFund International | Dan Church Aid (DCA) | Engineering Ministries International | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Security | Norwegian Refugee Council (NRC) | Samaritan's Purse | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Womena Uganda | World Health Organisation | World Vision Uganda,Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | ChildFund International | Dan Church Aid (DCA) | Engineering Ministries International | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Security | Norwegian Refugee Council (NRC) | Samaritan's Purse | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Womena Uganda | World Health Organisation | World Vision Uganda
ABIM,14,11,9,6,3,13,9,10,9,10,Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Farm Radio International | UNICEF | World Vision Uganda,Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
AMUDAT,21,17,17,12,4,2,12,18,17,19,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA,Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | ZOA,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA,Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA
KAABONG,18,15,15,10,3,14,12,16,15,16,Adventist Development & Relief Agency (ADRA) | Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation,Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda,Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Mercy Corps | Ministry of Security | Mission Aviation Fellowship (MAF) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
KARENGA,13,11,10,7,4,14,10,12,11,12,Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda,Farm Radio International | Mercy Corps | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | Mercy Corps | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
