"ProjectID","Partner","Project","Project_Status","Pillars_supported_by_project","Activities_conducted2","Implementing_partner","Regions","Districts"
"ID-63","United Nations Population Fund (UNFPA)","EU Spot light , GBV/SRH integrated programme","Ongoing Project","Coordination, Infection prevention, Case management, ICT innovations, Mental health, Risk communications, Logistics","Develop and issue information products including situational reports on COVID-19, Conduct rapid assessments by National Rapid Response Team, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Activate Ambulance services to aid referral of patients, Orientation of Health care workers in intensive care unit, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Pay Telecommunications UTL toll free for call center, Widen scope of implementation of eMeeting, Implementation of the E-eLMIS, Emergency Hotline, Telemedicine/telehealth approaches during and after Covid-19 pandemic, Strengthen the District routine  reporting data, Orientation of users on telemedicine, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus,  Voucher system to ensure women access services , Vehicles will be stationed at the health facilities and payments for fuel and driver's allowance will be made based on the vehicle log , Use district ambulances for districts to support referral services including picking mothers from home,  Pregnancy mapping","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD","Acholi, Kampala, Karamoja, Toro, West Nile","Kitgum, Kampala, Amudat, Kyegegwa, Kasese, Arua, Madiokollo"
"ID-64","United Nations Population Fund (UNFPA)","Reducing high fertility rates and Improving Sexual reproductive health outcomes in Uganda (DFID/RISE)RISE)","Ongoing Project","Coordination, Infection prevention, ICT innovations, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Pay Telecommunications UTL toll free for call center, Widen scope of implementation of eMeeting, Development of tele medicine protocals, Implementation of the E-eLMIS, Emergency Hotline, Strengthen the District routine  reporting data, Orientation of users on telemedicine, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management,  Support the provision of transport to health workers  and clients (pregnant women ) to provide services and access services  respectively  and inter-facility safe ambulance referrals with toll-free numbers that will be made known to health workers in the catchment areas.Use of safe boda to distribute SRHR/FPcommodites and supplies , use of big data for persceptive analysis of SRHR and GBV current situations in collaboration with other UN agencies , implementaiion of the Getin and Safepal apps","MOH, MOES,  NPA, UBOS ,  RAHU, MOH, MOES,  NPA, UBOS ,  RAHU, MOH, MOES,  NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU","Acholi, Ankole, Bunyoro, Karamoja, Kigezi, West Nile","Lamwo, Isingiro, Kikuube, Kiryandongo, Hoima, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Kanungu, Yumbe, Adjumani, Arua, Koboko, Moyo, Madiokollo, Obongi"
"ID-65","United Nations Population Fund (UNFPA)","Enhance women’s and young people’s access and utilization of quality SRHR and GBV services(WAY Programme)","New Project","Coordination, Infection prevention, ICT innovations, Mental health, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Orientation for surge staff, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Development of tele medicine protocals, Implementation of the E-eLMIS, Strengthen the District routine  reporting data, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management,","MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX","Acholi, West Nile","Lamwo, Amuru, Kitgum, Agago, Yumbe, Adjumani, Arua, Moyo, Madiokollo, Obongi"
"ID-66","United Nations Population Fund (UNFPA)","SIDA Joint SRH/GBV programme","Ongoing Project","Coordination, Infection prevention, ICT innovations, Mental health, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Orientation for surge staff, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Widen scope of implementation of eMeeting, Development of tele medicine protocals, Strengthen the District routine  reporting data, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of infared thermometers, Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Transport arrangements for medical staff,","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD","Acholi, Bunyoro, Kampala, Karamoja, Teso, West Nile","Gulu, Pader, Kiryandongo, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Nabilatuk, Karenga, Kaberamaido, Amuria, Yumbe"
"ID-67","United Nations Population Fund (UNFPA)","Advancing Sexual Reproductive Health and Rights in West Nile and Acholi Sub Regions in Uganda","Ongoing Project","Coordination, Infection prevention, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Pay Telecommunications UTL toll free for call center, Widen scope of implementation of eMeeting, Implementation of the E-eLMIS, Strengthen the District routine  reporting data, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers,  Voucher system to ensure women access services , Vehicles will be stationed at the health facilities and payments for fuel and driver's allowance will be made based on the vehicle log , Use district ambulances for districts to support referral services including picking mothers from home,  Pregnancy mapping","MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,","Acholi, West Nile","Lamwo, Amuru, Agago, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
"ID-68","United Nations Population Fund (UNFPA)","Strengthening Capacity to Deliver and Integrated Package of Rights in Karamoja and Northern Uganda","Ongoing Project","Coordination, Infection prevention, Mental health, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Transport arrangements for medical staff, Procurement of other medical equipment, Procurement of sanitizers,  Voucher system to ensure women access services , Vehicles will be stationed at the health facilities and payments for fuel and driver's allowance will be made based on the vehicle log , Use district ambulances for districts to support referral services including picking mothers from home,  Pregnancy mapping","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD","Acholi, Karamoja, Lango","Omoro, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Otuke"
"ID-69","United Nations Population Fund (UNFPA)","UNFPA Global Supplies Programme","Ongoing Project","Infection prevention, ICT innovations, Logistics","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Implementation of the E-eLMIS, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Procurement of other medical equipment, Procurement of sanitizers, Procurement of soap, Chlorination, Procure boots, None,","MOH, DLGs,  JMS, NMS, MSU, MSH, UFPC, MOH, DLGs,  JMS, NMS, MSU, MSH, UFPC","West Nile","Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
"ID-70","United Nations Population Fund (UNFPA)","Maternal Health Thematic programme","Ongoing Project","Infection prevention, Logistics","Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), None,","MOH, DLGs, UNMC, RRHs , Terrewode","West Nile","Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
"ID-71","United Nations Population Fund (UNFPA)","Together for SRH integrated SERVICES, Regional programme","Ongoing Project","Infection prevention, Logistics","Procure or construct IPC materials for health facilities, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of infared thermometers, Procurement of other medical equipment, Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers, None,","MOH, DLGs,  AIC, MOH, DLGs,  AIC","Acholi","Lamwo, Omoro, Agago"
"ID-72","United Nations Population Fund (UNFPA)","KARUNA  HIV/SRH programme","Ongoing Project","Infection prevention, Logistics","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procure blood testing reagents, Procurement of infared thermometers, Procurement of sanitizers, None,","MOH, DLGs,  AIC","Karamoja","Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga"
"ID-73","United Nations Population Fund (UNFPA)","Ending child marriage programme","Ongoing Project","Infection prevention, Logistics","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of infared thermometers, Procurement of sanitizers, Procurement of soap, Chlorination, None,","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD","West Nile","Maracha, Pakwach, Zombo, Adjumani, Nebbi, Moyo"
"ID-74","United Nations Population Fund (UNFPA)","Joint UN Emergency Appeal","New Project","Coordination, Infection prevention, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Pay Telecommunications UTL toll free for call center, Widen scope of implementation of eMeeting, Implementation of the E-eLMIS, Strengthen the District routine  reporting data, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management,","MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,","Kampala","Kampala"
"ID-75","United Nations Population Fund (UNFPA)","UBRAF Project","Ongoing Project","Logistics, Human resources","Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of infared thermometers, Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Procurement of other medical equipment, Procurement of soap, Chlorination, Recruitment of surge staff,","","West Nile","Zombo, Yumbe, Adjumani, Arua, Moyo, Madiokollo, Obongi"
"ID-76","Tackling Deadly Diseases in Africa Programme (TDDAP)","Tackling Deadly Diseases in Africa Programme","Ongoing Project","Coordination","None,","Government of Uganda","Acholi, Bukedi, Elgon, Kampala, Karamoja, Kigezi, Southbuganda, Toro, West Nile","Amuru, Busia, Tororo, Bukwo, Kampala, Moroto, Napak, Abim, Kisoro, Kabale, Wakiso, Rakai, Kasese, Ntoroko, Bundibugyo, Yumbe, Koboko"
"ID-77","Mercy Corps","EKISIL","Ongoing Project","Coordination, Infection prevention, Mental health, Risk communications","Technical support to local governments on COVID_19 Response, Supervise and monitor psychosocial services in the affected communities, None,","","Karamoja","Moroto, Amudat"
"ID-78","Mercy Corps","Apolou","Ongoing Project","Infection prevention, WASH, Risk communications","Procure or construct IPC materials for health facilities, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., None,","Save the Children, Save the Children, Whave Solutions, Save the Children","Karamoja","Moroto, Kaabong, Kotido, Amudat, Karenga"
"ID-79","Mercy Corps","BRIDGE","Ongoing Project","Risk communications","None,  Distribution of cash grants to vouchers to procure seeds via agro-agents","CTEN","West Nile","Yumbe"
"ID-80","Mercy Corps","Supporting Vulnerable Refugee and Host Communities in Kampala to Increase Resilience and Overcome the Economic and Mental Health Implications of the COVID-19 Crisis","New Project","Coordination, WASH, ICT innovations, Mental health, Risk communications, Human resources","Develop and issue information products including situational reports on COVID-19, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Recruitment costs for additional staff,  Unconditional cash transfers for livelihoods; conditional cash transfers; COVID-19 information and referral services; COVID-19 business survival bootcamp; Identification of Opportunities and Development of Business Models that Facilitate Alternative Productive Use of Existing Assets; women and youth business/financial empowerment","Viamo, Strong Minds, Strong Minds, Viamo, Strong Minds, Viamo","Kampala","Kampala"
"ID-81","UNICEF","UNICEF Support to the Uganda COVID-19 Response","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Monitor and supervise implementation of the plan by the national level, Orientation for surge staff, Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Contact identification, contact tracing, and contact follow up and contacts of contacts, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis., Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Implement Budget tracking and activity reporting system for the COVID-19 response, Widen scope of implementation of eMeeting, Development of tele medicine protocals,  Alternative education programming during school closure.","Ministry of Health, DLGs, MOH, NWSC, DLGs, Jhpiego, AVSI, BAYLOR, Malaria Consortium, IntraHealth, World Vision, MOH, DLGs, Jhpiego, AVSI, BAYLOR, Malaria Consortium, IntraHealth, MOH, NWSC, DLGs, World Vision, AVSI, BAYLOR, Jhpiego, IntraHealth, Malaria Consortium, Contractors for construction work, MOH, MOH, DLGs, HIJRA, Save the Children, World Vision, MOH, DLGs, World Vision, Media Houses, Publishing Houses, MOH, DLGs, MOH, DLGs, AVSI, BAYLOR, IntraHealth, Jhpiego","Acholi, Ankole, Bunyoro, Kampala, Karamoja, Lango, Toro, West Nile, Acholi, Ankole, Bunyoro, Kampala, Karamoja, Lango, Northbuganda, Southbuganda, Toro, West Nile, Kampala, Acholi, Ankole, Bunyoro, Kampala, Karamoja, Lango, Southbuganda, Toro, West Nile, Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile, Acholi, Ankole, Bunyoro, Kampala, Karamoja, Lango, Northbuganda, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ntungamo, Isingiro, Kikuube, Kiryandongo, Hoima, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Kyegegwa, Kasese, Kamwenge, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi, Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Mubende, Kayunga, Mukono, Kassanda, Masaka, Kalangala, Wakiso, Mpigi, Nakasongola, Mubende, Kayunga, Mukono, Kassanda, Kalangala, Wakiso, Mpigi, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Rubirizi, Ntungamo, Isingiro, Busia, Iganga, Bududa"
"ID-82","Care and Assistance For Forced Migrants (CAFOMI)","Emergency Response project for the Corona-virus disease (COVID-19) pandemic in South West, Mid west and  Kampala Regions in Uganda; Partnership between MI & CAFOMI","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Facilitation of point of entry supervisors, Case Investigation, Contact identification, contact tracing, and contact follow up and contacts of contacts, Accomodation and food assistance for quarantineed individuals in hotels, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Widen scope of implementation of eMeeting, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus,","","Bunyoro, Kampala, Kigezi, Toro, Bunyoro, Kampala, Kigezi, Toro","Kikuube, Kampala, Kanungu, Kisoro, Ntoroko, Bundibugyo, Kikuube, Kanungu"
"ID-83","Action Against Hunger","WFP Nutrition program (MAM TSFP and MCHN)","Ongoing Project","Coordination, Risk communications, Logistics","Technical support to local governments on COVID_19 Response, Procurement of sanitizers, Procurement of soap, Chlorination, None,","","Bunyoro, West Nile, Bunyoro, Bunyoro, West Nile","Kikuube, Kiryandongo, Yumbe, Adjumani, Koboko, Kikuube, Kikuube, Kiryandongo"
"ID-84","Action Against Hunger","ECHO consortium with DRC","Ongoing Project","WASH, Risk communications, Logistics","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Procurement of sanitizers, Procurement of soap, Chlorination, None,","","Bunyoro","Kikuube"
"ID-85","Action Against Hunger","SIDA- ENABLER project","Ongoing Project","Coordination","Technical support to local governments on COVID_19 Response, None,","","Bunyoro, West Nile","Kiryandongo, Adjumani"
"ID-86","Action Against Hunger","EU Trust Fund - RISE (NGO)","Ongoing Project","Coordination, Risk communications, Logistics","Technical support to local governments on COVID_19 Response, Procurement of sanitizers, Procurement of soap, Chlorination, None,","","West Nile","Adjumani"
"ID-87","Oxfam","Dissemination of cobid related messages at community level, controlling crowd at water sources, operation and maintenance of water systems to provide constant water supply,","Ongoing Project","WASH, Risk communications","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., None,","Oxfam and Hijra, Oxfam and Hijra","Bunyoro","Kikuube"
"ID-88","United Nations Population Fund (UNFPA)","EU/SPOT LIGHT programme for SRH/GBV","Ongoing Project","Coordination, Infection prevention, Mental health, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of infared thermometers, Offloadingand transportation of commodities, Procurement of other medical equipment, Procurement of sanitizers,","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD","Bukedi, Kampala, Karamoja, West Nile","Tororo, Kampala, Amudat, Arua, Madiokollo"
