"District","Coordination_n","PreventionControl_n","Surveillance_n","CaseManagement_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","Laboratory_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources","Laboratory"
"IGANGA",6,4,6,3,4,1,4,2,5,3,0,"Clinton Health Access Initiative | LifeNet International | Living Goods | Ministry of Health | Street Business School | World Health Organisation","LifeNet International | Street Business School | United States Agency for International Development | World Health Organisation","BRAC Uganda | Clinton Health Access Initiative | LifeNet International | Ministry of Security | United States Agency for International Development | World Health Organisation","LifeNet International | United States Agency for International Development | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | United States Agency for International Development | World Health Organisation","Farm Radio International | LifeNet International","BRAC Uganda | LifeNet International | UNICEF | United States Agency for International Development | World Health Organisation","LifeNet International | UNICEF | World Health Organisation",
"JINJA",7,5,6,5,6,2,6,4,7,4,0,"ChildFund International | Clinton Health Access Initiative | LifeNet International | Living Goods | Makerere University Walter Reed Project | Ministry of Health | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Restless Development Uganda | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Makerere University Walter Reed Project","BRAC Uganda | ChildFund International | Clinton Health Access Initiative | LifeNet International | UNICEF | United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Restless Development Uganda | World Health Organisation",
"KALIRO",3,2,5,2,3,1,3,1,4,1,0,"Clinton Health Access Initiative | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Clinton Health Access Initiative | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"KAMULI",6,3,6,3,5,2,4,3,6,1,0,"ChildFund International | Clinton Health Access Initiative | Living Goods | Ministry of Health | Plan International Uganda | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","BRAC Uganda | Clinton Health Access Initiative | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Plan International Uganda | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Plan International Uganda","BRAC Uganda | ChildFund International | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"LUUKA",2,2,3,2,3,1,3,1,3,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"MAYUGE",4,3,5,3,7,3,6,4,7,4,0,"ChildFund International | LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United States Agency for International Development | World Health Organisation","BRAC Uganda | LifeNet International | Ministry of Security | United States Agency for International Development | World Health Organisation","LifeNet International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Restless Development Uganda | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | LifeNet International | MapUganda | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | World Vision Uganda","BRAC Uganda | ChildFund International | LifeNet International | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","LifeNet International | Restless Development Uganda | World Health Organisation | World Vision Uganda",
"NAMAYINGO",2,2,4,2,3,1,4,1,4,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | MapUganda | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"NAMUTUMBA",4,4,6,3,5,2,3,2,5,2,0,"Food for the Hungry | Food for the Hungry Association | Ministry of Health | World Health Organisation","Food for the Hungry | Food for the Hungry Association | United States Agency for International Development | World Health Organisation","BRAC Uganda | Food for the Hungry | Food for the Hungry Association | Ministry of Security | United States Agency for International Development | World Health Organisation","Food for the Hungry Association | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry | Food for the Hungry Association | UNICEF | World Health Organisation","Food for the Hungry Association | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry","BRAC Uganda | Food for the Hungry | UNICEF | United States Agency for International Development | World Health Organisation","Food for the Hungry | World Health Organisation",
"BUDUDA",3,2,3,2,4,1,4,2,4,2,0,"ChildFund International | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"BUKWO",3,3,3,2,4,2,3,1,4,1,0,"Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","World Health Organisation",
"BULAMBULI",3,3,3,2,5,3,4,2,5,1,0,"ChildFund International | Ministry of Health | World Health Organisation","United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","World Health Organisation",
"KAPCHORWA",2,2,5,2,3,1,3,1,4,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | MapUganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"KWEEN",3,4,4,4,6,3,3,2,5,2,0,"Food for the Hungry Association | Ministry of Health | World Health Organisation","Food for the Hungry | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","MapUganda | Ministry of Security | United States Agency for International Development | World Health Organisation","Food for the Hungry | Food for the Hungry Association | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry | Food for the Hungry Association | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Food for the Hungry Association | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry","Food for the Hungry | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Food for the Hungry | World Health Organisation",
"MANAFWA",3,2,4,2,4,1,4,2,4,1,0,"ChildFund International | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","MapUganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"MBALE",5,4,4,3,8,5,5,5,8,3,0,"ChildFund International | Food for the Hungry Association | Living Goods | Ministry of Health | World Health Organisation","Food for the Hungry | Living Goods | United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","Food for the Hungry Association | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | Food for the Hungry Association | Living Goods | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | Food for the Hungry Association | Living Goods | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | Living Goods | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | Living Goods | World Vision Uganda","BRAC Uganda | ChildFund International | Food for the Hungry | Living Goods | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Living Goods | World Health Organisation | World Vision Uganda",
"NAMISINDWA",2,2,3,2,3,1,3,1,3,1,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"SIRONKO",3,3,5,2,4,2,4,2,5,1,0,"ChildFund International | Ministry of Health | World Health Organisation","Living Goods | United States Agency for International Development | World Health Organisation","BRAC Uganda | MapUganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","BRAC Uganda | ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation",
"KAMPALA",27,21,14,15,30,14,15,17,24,15,0,"Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Clinton Health Access Initiative | Dan Church Aid (DCA) | Finnish Mission Uganda / Fida International | ICAP | Infectious Diseases Institute | Makerere University | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Ministry of Health | Norwegian Refugee Council (NRC) | Street Business School | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | Finnish Mission Uganda / Fida International | ICAP | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Ministry of Health | Norwegian Refugee Council (NRC) | Samaritan's Purse | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | Global Healthcare Public Foundation | Infectious Diseases Institute | Makerere University | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Makerere University Walter Reed Project | Malteser International | Ministry of Security | U-LEARN | UNICEF | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Makerere University Walter Reed Project | Malteser International | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation","Adventist Development & Relief Agency (ADRA) | BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Dan Church Aid (DCA) | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Samaritan's Purse | Save the Children International | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Finnish Mission Uganda / Fida International | Hope for Children | International Justice Mission | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Living Goods | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Farm Radio International | Infectious Diseases Institute | Makerere University | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Mercy Corps | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Farm Radio International | Hope for Children | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Samaritan's Purse | UNICEF | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Vision Uganda","BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | ChildFund International | Dan Church Aid (DCA) | Engineering Ministries International | Hope for Children | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Norwegian Refugee Council (NRC) | Samaritan's Purse | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | Womena Uganda | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Hope for Children | Infectious Diseases Institute | Makerere University | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | Womena Uganda | World Health Organisation | World Vision Uganda",
"ABIM",8,6,3,3,8,4,3,4,4,4,0,"Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | UNICEF | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda",
"AMUDAT",9,8,4,6,10,4,5,7,6,5,0,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | MapUganda | Mercy Corps | Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | MapUganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA","Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | ZOA","Doctors with Africa CUAMM | Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA","Doctors with Africa CUAMM | Food for the Hungry Association | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation",
"KAABONG",8,7,3,3,11,4,4,6,6,4,0,"Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | MapUganda | Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda","Amref Health Africa in Uganda | Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda",
"KARENGA",5,5,3,3,8,5,4,5,4,4,0,"Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda",
"KOTIDO",7,7,3,3,10,4,4,6,5,4,0,"Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda","Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda",
"MOROTO",12,9,5,6,11,5,6,8,8,7,0,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | MapUganda | Mercy Corps | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | MapUganda | UNICEF | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | Voluntary Services Overseas (VSO) | Welthungerhilfe","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation",
"NABILATUK",7,6,4,4,9,4,4,4,5,4,0,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | UNICEF","Doctors with Africa CUAMM | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation",
"NAKAPIRIPIRIT",7,6,4,4,8,4,4,3,5,4,0,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | UNICEF","Doctors with Africa CUAMM | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation",
